Date,Recorded at,Scheduled for,Amount,Activity,Pending,Raw description,Description,Category folder,Category,Street address,City,State,Zip,Latitude,Longitude,Memo
2013/04/30,2013-04-30 04:15:05 AM -0700,,0.05,ACH,false,Electronic Funds Transfer - E*TRADE BANK   Pending ... ,E*trade Bank,Income,Other,,,,,,,
2013/04/30,2013-04-30 04:15:05 AM -0700,,0.31,ACH,false,Electronic Funds Transfer - E*TRADE BANK   Pending ... ,E*trade Bank,Income,Other,,,,,,,
2013/04/30,2013-04-30 04:15:10 AM -0700,,-0.36,ACH,false,Electronic Funds Transfer - E*TRADE BANK   Pending ... ,E*trade Bank,Uncategorized,Unknown,,,,,,,
2013/05/02,2013-05-02 08:17:04 AM -0700,,100.00,ACH,false,FUNDS TRANSFER,Funds Transfer,Financial,Money Transfer,,,,,,,
2013/05/06,2013-05-06 10:24:32 AM -0700,,-2.16,Signature purchase,false,TABLE MESA HARDWAR       ,Table Mesa Hardwar,Uncategorized,Unknown,"",Boulder,CO,80305,39.981863,-105.258485,
2013/05/07,2013-05-07 03:02:03 PM -0700,,-21.06,Signature purchase,false,TABLE MESA HARDWAR       ,Table Mesa Hardwar,Uncategorized,Unknown,"",Boulder,CO,80305,39.981863,-105.258485,
2013/05/08,2013-05-08 07:55:18 AM -0700,,-25.70,Signature purchase,false,THE GROWERS EXCHANGE     ,The Growers Exchange,Uncategorized,Other Shopping,"","",VA,23226,37.579912,-77.523347,
2013/05/09,2013-05-09 03:08:22 PM -0700,,-4.99,Signature purchase,false,MSFT   *XBOX LIVE        ,Xbox Live,Uncategorized,Unknown,"",Lower Elochoman,WA,98052,46.9497445,-122.7451695,
2013/05/09,2013-05-09 10:39:35 AM -0700,,-22.66,Pin purchase,false,THE HOME DEPOT #1546     ,Home Depot,Uncategorized,Unknown,"",Boulder,CO,80303-0000,40.002312,-105.233612,
2013/05/15,2013-05-15 04:31:43 PM -0700,,-4.99,Signature purchase,false,MSFT   *XBOX LIVE        ,Xbox Live,Uncategorized,Unknown,"",Lower Elochoman,WA,98052,46.9497445,-122.7451695,
2013/05/20,2013-05-20 11:15:18 AM -0700,,-10.84,Signature purchase,false,LINDSAYS BOULDER DELI  HA,Lindsay's Boulder Deli,Food & Drink,Other,1148 Pearl St,Boulder,CO,80302,40.01780637412416,-105.27991013908263,
2013/05/21,2013-05-21 04:15:26 AM -0700,,208.00,ACH,false,Electronic Funds Transfer - hire Dave LLC   Pending ... ,Hire Dave,Income,Other,,,,,,,
2013/05/22,2013-05-22 04:23:05 PM -0700,,-4.99,Signature purchase,false,MSFT   *XBOX LIVE        ,Xbox Live,Uncategorized,Unknown,"",Lower Elochoman,WA,98052,46.9497445,-122.7451695,
2013/05/24,2013-05-24 04:44:38 PM -0700,,-29.58,Signature purchase,false,PEI WEI #0104      Q02   ,Pei Wei  0104 Q02,Food & Drink,Fast Food,0104 Q02,Boulder,CO,80301,40.051351,-105.227413,
2013/05/24,2013-05-24 05:11:53 AM -0700,,-2.82,Signature purchase,false,SQ *CAFFE SOLE           ,Caffe Sole,Food & Drink,Restaurants,637 S Broadway St,Boulder,CO,80305,39.9831447,-105.2499433,
2013/05/25,2013-05-24 05:33:18 PM -0700,,-5.71,Signature purchase,false,MCDONALD'S F109          ,McDonald's,Food & Drink,Fast Food,1800 28th Street,Boulder,CO,80301,40.019188,-105.257856,
2013/05/25,2013-05-25 09:52:37 AM -0700,,-1.17,Pin purchase,false,TARGET T1769 TARGET T1769,Target,Food & Drink,Groceries,400 Marshall Road,Superior,CO,"",39.956788,-105.174383,
2013/05/26,2013-05-26 03:16:27 PM -0700,,-95.85,Pin purchase,false,KING SOOPERS 3600 TABLE M,King Soopers,Food & Drink,Groceries,1650 30th St,Boulder,CO,"",40.015791394233496,-105.25203824043274,
2013/05/26,2013-05-26 10:29:43 AM -0700,,-17.36,Signature purchase,false,GOOD TIMES DR THRU 101   ,Good Times Dr Thru,Food & Drink,Fast Food,"",Boulder,CO,80301,40.051351,-105.227413,
2013/05/28,2013-05-28 04:59:10 PM -0700,,-4.15,Signature purchase,false,NORTHWEST PARKWAY LLC    ,Northwest Parkway,Transportation,Parking & Tolls,"","",CO,80023,39.975858,-105.009387,
2013/05/29,2013-05-29 04:15:00 AM -0700,,100.00,ACH,false,Electronic Funds Transfer - E*TRADE BANK   Pending ... ,E*trade Bank,Income,Other,,,,,,,
2013/05/29,2013-05-29 05:31:43 AM -0700,,-2.44,Pin purchase,false,KING SOOPERS 3600 TABLE M,King Soopers,Food & Drink,Groceries,1650 30th St,Boulder,CO,"",40.015791394233496,-105.25203824043274,
2013/05/29,2013-05-29 05:36:55 AM -0700,,-10.00,Pin purchase,false,KING SOOPERS 3600 TABLE M,King Soopers,Food & Drink,Groceries,1650 30th St,Boulder,CO,"",40.015791394233496,-105.25203824043274,
2013/05/30,2013-05-29 06:00:13 PM -0700,,-80.37,Pin purchase,false,WAL-MART #5341           ,Wal Mart,Food & Drink,Groceries,"",Broomfield,CO,80021,39.911515,-105.129891,
2013/05/29,2013-05-29 09:56:27 AM -0700,,-2.00,Signature purchase,false,TEE & CAKES              ,Tee & Cakes,Food & Drink,Fast Food,1932 14th St,Boulder,CO,80302,40.017969,-105.277228,
2013/05/29,2013-05-29 12:25:26 PM -0700,,-8.67,Signature purchase,false,LINDSAYS BOULDER DELI  HA,Lindsay's Boulder Deli,Food & Drink,Other,1148 Pearl St,Boulder,CO,80302,40.01780637412416,-105.27991013908263,
2013/05/31,2013-05-30 05:09:42 PM -0700,,-29.95,Pin purchase,false,SHELL Service Station    ,Shell,Transportation,Gas,"",Boulder,CO,80301,40.051351,-105.227413,
2013/05/31,2013-05-31 01:15:19 PM -0700,,-2.11,Signature purchase,false,STARBUCKS #05548 BOULDER ,Starbucks,Food & Drink,Fast Food,1402 Broadway,Boulder,CO,80302,40.010746,-105.27665,
2013/06/07,2013-06-07 04:15:05 AM -0700,,100.00,ACH,false,Electronic Funds Transfer - E*TRADE BANK   Pending ... ,E*trade Bank,Income,Other,,,,,,,
2013/06/09,2013-06-09 12:11:40 PM -0700,,-15.04,Signature purchase,false,EINSTEIN BROS BAGELS2445 ,Einstein Bros Bagels2445,Food & Drink,Restaurants,"",Boulder,CO,80303,40.002312,-105.233612,
2013/06/11,2013-06-10 06:59:18 PM -0700,,-33.00,Pin purchase,false,KING SOOPERS 3600 TABLE M,King Soopers,Food & Drink,Groceries,1650 30th St,Boulder,CO,"",40.015791394233496,-105.25203824043274,
2013/06/10,2013-06-10 09:45:13 AM -0700,,-2.25,Signature purchase,false,TEE & CAKES              ,Tee & Cakes,Food & Drink,Fast Food,1932 14th St,Boulder,CO,80302,40.017969,-105.277228,
2013/06/11,2013-06-11 11:37:02 AM -0700,,-3.50,Signature purchase,false,ATLAS PURVEYORS          ,Atlas Purveyors,Food & Drink,Restaurants,1505 Pearl St,Boulder,CO,80302,40.018782,-105.275638,
